id;title;description;start_date;end_date;level;price
1;upward;blah;2025-06-02;2025-06-02;ADVANCED;9638.68
2;amid fork;which noxious however;2025-06-02;2025-06-02;BEGINNER;22848.38
3;lively really;whoever excitedly essence;2025-06-03;2025-06-03;BEGINNER;4417.43
4;optimistically zowie nasalise;plagiarise ruin;2025-06-02;2025-06-03;BEGINNER;5005.95
5;total;festival tasty;2025-06-02;2025-06-03;INTERMEDIATE;20523.68
6;zowie hype;than extent;2025-06-03;2025-06-03;BEGINNER;17060.12
7;eternity ew;however joyously;2025-06-02;2025-06-03;INTERMEDIATE;32159.46
8;instantly;nor plump by;2025-06-02;2025-06-03;ADVANCED;15597
9;whenever;tricky huzzah;2025-06-03;2025-06-03;BEGINNER;19456.04
10;typeface upon;unto uh-huh up;2025-06-02;2025-06-03;ADVANCED;30412.74
