id;bio;linkedin_url;github_url;profile_picture_url
1;toothpick below;afore sturdy;until bus foodstuffs;brr interestingly huzzah
2;only phew;terraform until;whose;howl
3;naturally on;overconfidently;frail angrily solicit;or ha
4;retool lamp deploy;unwelcome bandwidth indeed;breakable purple until;phrase informal blind
5;yippee lest whether;quarrelsomely notwithstanding;that;briefly instead
6;shore yippee mould;wetly except innocent;uncomfortable hence scrap;councilman quirkily fast
7;that when;with peninsula kissingly;amidst before;colorfully
8;appreciate between;boo if whose;which;avalanche futon
9;gadzooks;thoroughly;hold team;even collectivization young
10;egg meh doubtfully;since ugh;huzzah terribly;exalted except
